"ID","email","name","country","gender","department","salary","contract_start_date","tenure","contract_type"
1008,"wff.1008@clean_data.com","Wolfgang Frank Fischer","Japan","Male","PRODUCT MANAGEMENT",4408836.33,2012-10-13,"part time","fixed-term"
1026,"syy.1026@clean_data.com","Sachiko Yoshiko Yamamoto","France","Female","RESEARCH AND DEVELOPMENT",3057032.59,2014-05-02,"part time","fixed-term"
1058,"yhy.1058@clean_data.com","Yuki Hiroshi Yamamoto","USA","Female","LEGAL",3050752.13,2015-08-11,"part time","fixed-term"
1058,"jrr.1058@clean_data.com","James Robert Rodriguez","China","Female","LEGAL",3050752.13,2015-08-11,"part time","fixed-term"
1064,"trb.1064@clean_data.com","Thomas Robert Brown","","Female","ACCOUNTING",5165921.39,2016-08-03,"part time","fixed-term"
1074,"mao.1074@clean_data.com","Márcia Ana Oliveira","France","Female","RESEARCH AND DEVELOPMENT",3379571.19,2013-11-26,"full time","permanent"
1126,"aac.1126@clean_data.com","Angela Angela Colombo","France","Male","SALES",2439935.37,2019-03-19,"full time","fixed-term"
1135,"mlu.1135@clean_data.com","Mei Lanh Uang","Germany","Male","TRAINING",3601189.19,2018-01-08,"full time","permanent"
1143,"csd.1143@clean_data.com","Catherine Sylvie Durand","Italy","Male","TRAINING",4106273.07,2015-10-04,"part time","fixed-term"
1147,"mag.1147@clean_data.com","Marcos Antônio Gomes","Germany","Male","",NA,2018-02-12,NA,"permanent"
1241,"fjf.1241@clean_data.com","Francisco José Fernández","Italy","Female","HUMAN RESOURCES",3142122.03,2020-10-10,"part time","fixed-term"
1319,"lvc.1319@clean_data.com","Luigi Vincenzo Colombo","Japan","Male","ACCOUNTING",4448553.53,2012-01-16,"full time","fixed-term"
1371,"cmo.1371@clean_data.com","Carlos Marcos Oliveira","Brazil","Male","LEGAL",1981906.19,2013-04-07,"part time","fixed-term"
1393,"pwf.1393@clean_data.com","Peter Wolfgang Fischer","China","Female","RESEARCH AND DEVELOPMENT",1875943.58,2010-11-17,"full time","permanent"
1429,"pkb.1429@clean_data.com","Peter Klaus Becker","Italy","Male","MARKETING",5000802.77,2018-07-27,"full time","permanent"
1475,"fjw.1475@clean_data.com","Fang Juan Wang","Spain","Male","MARKETING",5118039.66,2014-09-16,"full time","fixed-term"
1490,"gvr.1490@clean_data.com","Giuseppe Vincenzo Romano","France","Female","ENGINEERING",3499965.76,2015-11-08,"part time","permanent"
1496,"mcr.1496@clean_data.com","Michael Christopher Rodriguez","France","Female","TRAINING",3206328.21,2020-10-15,"full time","permanent"
1549,"vfm.1549@clean_data.com","Vincenzo Francesco Marino","Brazil","Male","ACCOUNTING",4150662.9,2014-01-24,"part time","fixed-term"
1552,"kmw.1552@clean_data.com","Klaus Michael Wagner","China","Male","LEGAL",3769458.55,2011-03-29,"full time","permanent"
1567,"ilp.1567@clean_data.com","Isabel Laura Pérez","USA","Male","MARKETING",2917255.88,2022-10-01,"full time","fixed-term"
1578,"trm.1578@clean_data.com","Thomas Robert Martinez","Brazil","Female","LEGAL",3396111.91,2016-03-18,"full time","fixed-term"
1582,"aas.1582@clean_data.com","Aline Aline Souza","Germany","Male","HUMAN RESOURCES",3573985.37,2015-11-30,"part time","permanent"
1616,"mdg.1616@clean_data.com","María Dolores Garcia","Japan","Female","SUPPORT",4884611.3,2014-03-18,"part time","permanent"
1639,"ohs.1639@clean_data.com","Osamu Hiroshi Suzuki","Spain","Male","MARKETING",4900273.46,2011-07-12,"full time","fixed-term"
1746,"jyl.1746@clean_data.com","Jin Yang Liu","China","Female","MARKETING",4107502.35,2015-10-16,"full time","fixed-term"
1789,"mrs.1789@clean_data.com","Michael Richard Smith","Spain","Male","SUPPORT",2375030.51,2021-11-10,"full time","fixed-term"
1794,"mjg.1794@clean_data.com","Marcos José Gomes","Spain","Male","ENGINEERING",2336074.87,2018-05-23,"full time","permanent"
1849,"kmi.1849@clean_data.com","Keiko Michiko Ito","Germany","Male","SERVICES",3262741.78,2012-01-31,"part time","fixed-term"
