ID,name,gender,department,salary,contract_start_date,tenure,contract_type,country
3751,wolfgang frank fischer,M,Engineering,$1944778.73,04/18/2020,False,True,Germany
9709,S3chIKO YSOHIkO YAMaMoTO,F,Business Development,$4034920.53,01/20/2015,True,False,Japan
1319,yuki  hiroshi  yamamoto,M,Accounting,$4448553.53,01/16/2012,True,False,Japan
5516,james robert rodriguez,M,Engineering,$3703534.33,03/21/2015,True,False,USA
3359,tH$MAS RobeRT brOWN,M,Services,$2211818.29,02/25/2021,False,False,USA
5178,márcia ana olivei&a,F,Services,$4020821.87,03/24/2012,False,True,Brazil
6976,angela angela colombo,F,Legal,$4088847.65,2015-12-07 00:00:00,False,False,Italy
9480,mei lanh uang,F,Engineering,$3335383.26,2014-07-04 00:00:00,True,True,China
1496,catherine sylvie durand,F,Training,$3206328.21,10/15/2020,True,True,France
5521,MARCOS ANTÔNIO GOMES,M,Product Management,$2939854.34,2015-04-08 00:00:00,False,False,Brazil
9827,mARíA CArmen1ACrMEN PéRez,F,Business Development,$2686327.77,07/31/2015,True,True,Spain
1429,LUIGI VINCENZO COLOMBO,M,Marketing,$5000802.77,07/27/2018,True,True,Italy
2432,carlos marcos oliveira,M,Support,$2146329.48,2013-11-01 00:00:00,True,False,Brasil
2432,peter wolfgang fischer,M,Support,$2146329.48,2013-11-01 00:00:00,True,False,germany
1147,peter klaus becker,M,,,2018-02-12 00:00:00,,True,Germany
1746,fang juan wang,F,Marketing,$4107502.35,10/16/2015,True,False,China
6833,GIUSEPPE VINCENZO ROMANO,M,Support,$4742467.27,12/15/2013,True,False,Italy
9893,michael christopher rodriguez,M,Business Development,$2808107.37,2016-08-09 00:00:00,True,False,USA
3683,vincenzo francesco marino,M,Support,$2651870.70,01/16/2022,False,True,Italia
5341,klaus michael wagner,M,Legal,$4065740.81,10/28/2013,True,True,Germany?
5086,isabel laura pérez,F,Marketing,$5046175.34,07/15/2020,False,False,Spian
3677,thomas  robert  martinez,M,Services,$2529947.11,05/20/2019,False,False,USA
6852,alInE AlIne soUza,F,Business Development,$2522226.35,09/29/2019,True,True,Brazil
4539,josé luis josé luis rodríguez,M,Support,$3438005.06,2020-10-06 00:00:00,True,True,Spain
5750,6samu hiroshi suzuki,M,Accounting,$4840506.88,2018-11-01 00:00:00,False,False,Japan
2824,jin gyan liu,F,Human Resources,$2828591.95,09/17/2018,False,True,china
3838,michael richard smith,M,Legal,$4784169.37,10/27/2020,True,False,USA
3838,marcOS JosÉ GoMES,M,Legal,$4784169.37,10/27/2020,True,False,Brazil
8039,keiko  michiko  ito,F,Engineering,$3370868.02,08/26/2015,False,True,Japan
4838,jing  ping  li,F,Research and Development,$3521147.58,08/20/2021,False,False,China
2854,jessic alinda brown,F,Services,$1849120.99,08/23/2018,True,False,USA   
2854,monika sabine schneider,F,Services,$1849120.99,08/23/2018,True,False,Germany
